"标题","地点","户型格局","面积","更多信息","关注人数","发布日期","价格(元每平方米)","总价(万元)"
"北大学城水映唐庄上叠别墅带露台满五年","水映唐庄 - 北大学城","4室2厅 "," 145.79平米"," | 南 北 | 简装 | 中楼层(共4层) | 塔楼","122人关注 "," 一年前发布",11798,172
"此房满五不唯一，中间楼层视野开阔采光充足交通便利","绿城百合花园 - 中牟城区","4室2厅 "," 177.8平米"," | 南 北 | 毛坯 | 中楼层(共16层) | 塔楼","7人关注 "," 一年前发布",8156,145
"南北通透户型 小三室精装 家具家电齐全","郑州碧桂园湖光山色 - 荥阳城区","3室2厅 "," 103.83平米"," | 南 北 | 精装 | 高楼层(共18层) | 板塔结合","18人关注 "," 2个月以前发布",5875,61
"金二环一楼带院大两室，户型方正，私人院子，诚心售","东方梦园 - 幸福港湾","2室2厅 "," 85.27平米"," | 南 | 简装 | 低楼层(共6层) | 板楼","8人关注 "," 7个月以前发布",11611,99
"亚太明珠 地铁口 临河大三居 户型方正 视野好","亚太明珠 - 远大理想城","3室2厅 "," 163.64平米"," | 南 | 简装 | 高楼层(共24层) | 板塔结合","1人关注 "," 3个月以前发布",12406,203
"万科山河道旁 三开间朝南 门口带公园 随时看房","正商颖河港湾 - 中原万达","2室2厅 "," 87.98平米"," | 南 | 精装 | 高楼层(共18层) | 塔楼","4人关注 "," 3个月以前发布",11139,98
"市区独院 出行方便 交通便利","毛园街一巷 - 新郑城区","7室2厅 "," 192.01平米"," | 南 北 | 其他 | 低楼层(共2层) | 暂无数据","0人关注 "," 3个月以前发布",4427,85
"春和景明 精装修 四房 诚心出售 看房方便","春和景明 - 中牟城区","4室2厅 "," 130.58平米"," | 西南 | 简装 | 低楼层(共18层) | 塔楼","32人关注 "," 一年前发布",8042,105
"财富大道旁花花牛，地铁8号线800米，中间楼层","花花牛家属院 - 北站","3室1厅 "," 76.54平米"," | 南 | 简装 | 中楼层(共5层) | 板楼","2人关注 "," 3个月以前发布",9799,75
"康桥物业，双卫设计，房屋格局好，采光充足","康桥原溪里 - 南龙湖商圈","3室2厅 "," 118.89平米"," | 南 北 | 毛坯 | 中楼层(共11层) | 板楼","0人关注 "," 1个月以前发布",7150,85
"花园路黄河路双气三房，有钥匙，满五年，地铁2和5号线","黄河路9号院 - 花园路","3室1厅 "," 88.86平米"," | 南 北 | 精装 | 中楼层(共6层) | 板楼","7人关注 "," 1个月以前发布",11142,99
"南北通透大三居 采光无遮挡 业主诚意出售","正弘美林苑 - 航空港商圈","3室2厅 "," 126.89平米"," | 南 北 | 毛坯 | 高楼层(共18层) | 板楼","1人关注 "," 3个月以前发布",7408,94
"永威南樾福苑 3室1厅 南 北","永威南樾福苑 - 航空港商圈","3室1厅 "," 121.28平米"," | 南 北 | 精装 | 高楼层(共18层) | 板楼","8人关注 "," 2个月以前发布",8658,105
"此房全明户型，户型方正，配套设施齐全，交通便利。","恒基水榭华城 - 航空港商圈","3室1厅 "," 115.76平米"," | 南 | 毛坯 | 低楼层(共22层) | 塔楼","6人关注 "," 5个月以前发布",5011,58
"财富大道旁花花牛，地铁8号线800米，中间楼层","花花牛家属院 - 北站","3室1厅 "," 76.54平米"," | 南 | 简装 | 中楼层(共5层) | 板楼","2人关注 "," 3个月以前发布",9799,75
"永威南樾福苑 3室1厅 南 北","永威南樾福苑 - 航空港商圈","3室1厅 "," 121.28平米"," | 南 北 | 精装 | 高楼层(共18层) | 板楼","8人关注 "," 2个月以前发布",8658,105
"拎包入住，豪布斯卡，永辉，银行。公园，","海龙香槟大道 - 荥阳城区","3室1厅 "," 110.35平米"," | 南 北 | 简装 | 中楼层(共26层) | 板塔结合","2人关注 "," 4个月以前发布",5800,64
"精装修总高11层此房中间楼层 人车分流","清华大溪地九号院 - 荥阳城区","3室2厅 "," 125.46平米"," | 南 北 | 简装 | 中楼层(共11层) | 板楼","6人关注 "," 4个月以前发布",6855,86
"褐石街区优质三房，公摊小，业主诚意出售","绿都褐石街区 - 中牟城区","3室1厅 "," 89.03平米"," | 南 北 | 毛坯 | 高楼层(共6层) | 平房","0人关注 "," 1个月以前发布",6964,62
"北龙湖西岸|一楼带院|党校家属院|诚心出售|看房随时","中州大道546号院 - 汽配大世界","3室2厅 "," 175.87平米"," | 南 | 简装 | 低楼层(共5层) | 板楼","0人关注 "," 2个月以前发布",9667,170
"锦绣山河玉华园，精装修两室，满五唯一，现房诚售！","锦绣山河玉华园 - 万客来","2室2厅 "," 78.98平米"," | 南 | 精装 | 高楼层(共33层) | 板楼","33人关注 "," 一年前发布",10130,80
"河南日报家属院，南北通透大两居，户型方正","东瑞园 - 郑州东站","2室1厅 "," 112.97平米"," | 南 北 | 简装 | 低楼层(共11层) | 板塔结合","4人关注 "," 1个月以前发布",18147,205
"此房南北格局,有电梯,采光好,视野开阔,看房方便","鸿盛新城 - 上街区","3室2厅 "," 128.95平米"," | 东 | 简装 | 中楼层(共11层) | 暂无数据","6人关注 "," 4个月以前发布",3568,46
"全明户型，好楼层，经典大三室，采光好，南北通透","豫翠园 - 上街区","3室2厅 "," 138平米"," | 南 北 | 毛坯 | 中楼层(共32层) | 板楼","0人关注 "," 1个月以前发布",3986,55
"京广路航海路，鞋城商圈，小两房，满五年，诚心出售！","新圃西街20号 - 鞋城","2室1厅 "," 59.16平米"," | 东 西 | 毛坯 | 高楼层(共6层) | 板楼","43人关注 "," 7个月以前发布",4733,28
"好装修 永丰乐城幸福里 三房两厅 楼层好 看房方便","永丰乐城幸福里 - 南龙湖商圈","3室2厅 "," 88.24平米"," | 南 | 精装 | 中楼层(共30层) | 板塔结合","2人关注 "," 1个月以前发布",8273,73
"金水区二环内 地铁口20米 带阁楼 户型很好诚心出售","锦隆阳光都市 - 沙口路","2室2厅 "," 94.37平米"," | 南 北 | 精装 | 高楼层(共6层) | 板楼","22人关注 "," 3个月以前发布",8001,75.5
"瀚宇天悦湾一号院 中低楼层 带全款车位 毛坯现房","瀚宇天悦湾1号院 - 荥阳城区","4室2厅 "," 133.68平米"," | 西南 | 毛坯 | 低楼层(共32层) | 板楼","11人关注 "," 5个月以前发布",6135,82
"十七里河观景三房 精装修 拎包入住","亚太明珠 - 远大理想城","3室2厅 "," 114.39平米"," | 南 | 精装 | 低楼层(共24层) | 板楼","1人关注 "," 1个月以前发布",12064,138
"华庭满五唯一 南北通 精装修 三开间朝南 视野开阔","绿都紫荆华庭佳园 - 橄榄城","3室2厅 "," 102.74平米"," | 南 | 精装 | 高楼层(共28层) | 板楼","73人关注 "," 一年前发布",15087,155
"次房税满两年，是纯南户型，采光好无遮挡。","书香雅居 - 新郑城区","3室2厅 "," 102.72平米"," | 南 | 简装 | 高楼层(共20层) | 塔楼","13人关注 "," 一年前发布",6280,64.5
"南区双气步梯一楼，南北通透设计满五唯一配套设施齐全","东电花苑 - 新郑城区","3室2厅 "," 126.87平米"," | 南 北 | 简装 | 低楼层(共7层) | 板塔结合","0人关注 "," 1个月以前发布",5045,64
"精装修婚房，楼层低，出行方便。","亚星江南小镇 - 上街区","3室2厅 "," 118.32平米"," | 东南 | 精装 | 低楼层(共33层) | 板塔结合","1人关注 "," 2个月以前发布",5748,68
"边户三房两卫 浩创梧桐郡 南北双阳台 楼层好","浩创梧桐郡 - 南龙湖商圈","3室2厅 "," 119.04平米"," | 南 | 毛坯 | 高楼层(共26层) | 板塔结合","0人关注 "," 1个月以前发布",7561,90
"此房满五唯一，中等装修，采光好，通风效果好。","郑东百合 - 中牟城区","4室2厅 "," 89.69平米"," | 西 | 简装 | 中楼层(共7层) | 板楼","0人关注 "," 2个月以前发布",6356,57
"房子面积大，小区物业好，绿化好，业主诚心出售！","晨胧华庭 - 中牟城区","3室2厅 "," 159.49平米"," | 南 北 | 精装 | 高楼层(共18层) | 暂无数据","2人关注 "," 7个月以前发布",10346,165
"视野开阔，采光充足，楼层好，设施齐全，，交通便利","泰宏建业国际城18号院 - 万客来","2室1厅 "," 58.92平米"," | 南 | 精装 | 高楼层(共32层) | 板塔结合","1人关注 "," 2个月以前发布",11881,70
"价格便宜，大三房，精装修，爱就马上行动","富田兴龙湾 - 南龙湖商圈","3室1厅 "," 120.07平米"," | 南 | 精装 | 低楼层(共33层) | 板楼","4人关注 "," 4个月以前发布",6663,80
"此房满五唯一，通透户型，中间楼层，","理想名城 - 上街区","3室2厅 "," 132平米"," | 南 | 毛坯 | 高楼层(共20层) | 板塔结合","2人关注 "," 2个月以前发布",4091,54
"4号线地铁口 精装三房 看房方便 橡树玫瑰城 诚心出售","橡树玫瑰城东区 - 阳光城","3室2厅 "," 88.71平米"," | 南 | 精装 | 18层 | 板塔结合","4人关注 "," 4个月以前发布",11611,103
"阳光城大三房视野采光好 看房基本随时业主诚心出售","阳光城9号院 - 阳光城","3室3厅 "," 119.55平米"," | 南 北 | 简装 | 高楼层(共32层) | 板楼","3人关注 "," 4个月以前发布",14773,176.6
"天下城 标准三房 随时可以交房 视野 采光好看房方便","开祥天下城 - 大石桥","3室2厅 "," 145.54平米"," | 南 | 简装 | 中楼层(共31层) | 板楼","0人关注 "," 1个月以前发布",24461,356
"房子精装修，户型方正，业主诚心出售","橡树玫瑰城北区 - 阳光城","3室2厅 "," 89.78平米"," | 南 北 | 精装 | 26层 | 板塔结合","2人关注 "," 2个月以前发布",12242,109.9
"双气小区润基华悦城 精装两室 诚意出售","润基花悦城 - 新郑城区","2室1厅 "," 57.98平米"," | 北 | 精装 | 中楼层(共19层) | 塔楼","18人关注 "," 一年前发布",5692,33
